,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
1272,BBWI,38.53,2018-03-23,134916609.47,BBWI,26.63,2019-03-25,144593896.31
1273,BBWI,27.8,2019-03-22,107154544.0,BBWI,9.69,2020-03-23,75122480.82
1274,BBWI,12.31,2020-03-30,147742514.99,BBWI,60.46,2021-03-30,250181303.44
1275,BBWI,60.02,2021-03-19,305928482.18,BBWI,50.14,2022-03-21,189935183.58
1276,BBWI,48.51,2022-03-18,311607962.82,BBWI,,,
1277,BBY,75.36,2018-01-31,369571694.88,BBY,58.98,2019-01-31,215469510.72
1278,BBY,70.85,2019-03-28,269594310.7,BBY,60.49,2020-03-27,156613146.75
1279,BBY,50.48,2020-03-23,239937093.76,BBY,120.65,2021-03-23,441947465.1
1280,BBY,113.83,2021-03-19,1035676108.18,BBY,101.82,2022-03-21,241459918.98
1281,BBY,98.23,2022-03-18,445946223.91,BBY,,,
1282,BC,58.62,2018-02-20,38240815.62,BC,51.95,2019-02-20,60170152.400000006
1283,BC,51.53,2019-02-19,55276746.300000004,BC,65.0,2020-02-19,28608385.0
1284,BC,32.0,2020-03-20,62228000.0,BC,99.84,2021-03-22,70456688.64
1285,BC,91.93,2021-02-16,45908371.120000005,BC,96.68,2022-02-16,53928297.36000001
1286,BC,96.68,2022-02-16,53928297.36000001,BC,,,
1287,BCAB,,,,BCAB,65.73,2021-03-23,32523335.46
1288,BCAB,51.0,2021-02-16,20763834.0,BCAB,7.08,2022-02-14,4295365.2
1289,BCAB,6.74,2022-02-28,4103675.96,BCAB,,,
1290,BCC,41.75,2018-02-26,69742122.5,BCC,28.25,2019-02-26,27342666.5
1291,BCC,28.25,2019-02-26,27342666.5,BCC,37.92,2020-02-26,13885848.96
1292,BCC,39.48,2020-02-24,16121184.239999998,BCC,52.15,2021-02-23,61279118.25
1293,BCC,51.81,2021-02-22,19463618.130000003,BCC,82.49,2022-02-22,55946697.76
1294,BCC,82.49,2022-02-22,55946697.76,BCC,,,
1295,BCEI,25.38,2018-02-09,9916727.4,BCEI,21.54,2019-02-11,2949106.02
1296,BCEI,24.25,2019-02-28,9492953.5,BCEI,12.76,2020-02-28,5784133.52
1297,BCEI,12.76,2020-02-28,5784133.52,BCEI,32.72,2021-03-01,12943181.28
1298,BCEI,27.23,2021-02-17,4281617.97,BCEI,,,
1299,BCEI,,,,BCEI,,,
1300,BCO,73.45,2018-03-01,20554174.55,BCO,79.6,2019-03-01,34950688.4
1301,BCO,79.66,2019-02-26,36685421.5,BCO,81.06,2020-02-26,64586014.08
1302,BCO,78.52,2020-02-28,45319781.0,BCO,78.89,2021-03-01,20337447.55
1303,BCO,78.89,2021-03-01,20337447.55,BCO,69.55,2022-03-01,39180157.9
1304,BCO,69.74,2022-02-28,29554975.119999997,BCO,,,
1305,BCOR,23.3,2018-03-01,8330705.3,BCOR,27.12,2019-03-01,6059584.32
1306,BCOR,27.12,2019-03-01,6059584.32,BCOR,17.47,2020-03-02,7377877.989999999
