,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
7581,UTL,42.15,2021-02-02,2896463.6999999997,UTL,47.16,2022-02-02,2780553.5999999996
7582,UTMD,89.6,2018-03-06,1419353.5999999999,UTMD,88.49,2019-03-06,1504506.98
7583,UTMD,85.11,2019-03-14,643516.71,UTMD,91.35,2020-03-13,1050250.95
7584,UTMD,84.58,2020-03-16,2134714.62,UTMD,93.22,2021-03-16,492201.6
7585,UUUU,1.6,2018-03-12,92036.8,UUUU,2.7,2019-03-12,3672118.8000000003
7586,UUUU,3.0,2019-03-14,4019391.0,UUUU,0.9,2020-03-13,1330813.8
7587,UUUU,0.9,2020-03-17,1310171.4000000001,UUUU,6.84,2021-03-17,38644201.08
7588,V,110.69,2017-11-17,974014330.51,V,140.47,2018-11-19,2283054274.49
7589,V,140.42,2018-11-16,1211547551.34,V,179.57,2019-11-18,1288159042.32
7590,V,179.0,2019-11-14,1756162735.0,V,209.91,2020-11-13,1338914503.47
7591,V,207.24,2020-11-19,1172408075.52,V,202.04,2021-11-19,3644544201.04
7592,VAC,146.06,2018-02-27,36641049.78,VAC,96.01,2019-02-27,49369206.09
7593,VAC,98.51,2019-03-01,57821626.620000005,VAC,98.08,2020-03-02,51351941.76
7594,VAC,98.08,2020-03-02,51351941.76,VAC,174.59,2021-03-02,91162343.09
7595,VAC,174.03,2021-03-01,240596823.06,VAC,159.28,2022-03-01,71708333.84
7596,VALPQ,20.88,2018-02-27,83959565.75999999,VALPQ,16.88,2019-02-27,52180840.16
7597,VALPQ,16.4,2019-02-28,64914135.599999994,VALPQ,2.88,2020-02-28,24036387.84
7598,VALPQ,4.96,2020-02-21,62117730.56,VALPQ,0.1,2021-02-22,104733.40000000001
7599,VALU,17.82,2017-07-26,12331.44,VALU,22.24,2018-07-26,12610.08
7600,VALU,22.24,2018-07-26,12610.08,VALU,25.7,2019-07-26,154379.9
7601,VALU,25.7,2019-07-26,154379.9,VALU,24.77,2020-07-27,35247.71
7602,VALU,24.6,2020-07-28,23591.4,VALU,32.39,2021-07-28,96943.27
7603,VAR,109.08,2017-11-27,49081636.8,VAR,116.5,2018-11-27,82286163.5
7604,VAR,116.29,2018-11-26,61260409.1,VAR,133.0,2019-11-26,86944760.0
7605,VAR,131.61,2019-11-25,95125602.24000001,VAR,174.25,2020-11-24,301333313.0
7606,VATE,5.21,2018-03-14,1157573.43,VATE,2.73,2019-03-14,1053550.68
7607,VATE,3.15,2019-03-12,715377.6,VATE,2.86,2020-03-11,1104354.68
7608,VATE,2.47,2020-03-16,1148742.6600000001,VATE,3.74,2021-03-16,2193345.44
7609,VATE,3.68,2021-03-10,1295268.0,VATE,3.51,2022-03-10,829721.88
7610,VC,122.45,2018-02-22,55542340.4,VC,90.82,2019-02-22,51783838.419999994
7611,VC,86.99,2019-02-21,86475019.19999999,VC,78.26,2020-02-21,55877013.92
7612,VC,72.15,2020-02-20,87247459.65,VC,122.85,2021-02-19,85232715.75
7613,VC,128.11,2021-02-18,143618868.49,VC,120.11,2022-02-18,68803932.51
7614,VCEL,3.1,2017-08-07,860367.8,VCEL,10.05,2018-08-06,8645452.200000001
7615,VCEL,10.05,2018-08-06,8645452.200000001,VCEL,18.52,2019-08-06,22032632.84
7616,VCEL,18.52,2019-08-06,22032632.84,VCEL,16.99,2020-08-05,12953923.559999999
7617,VCEL,16.99,2020-08-05,12953923.559999999,VCEL,49.56,2021-08-05,18022741.8
7618,VCYT,5.94,2018-02-27,545191.02,VCYT,21.46,2019-02-27,18636014.220000003
7619,VCYT,20.0,2019-02-25,11227200.0,VCYT,23.98,2020-02-25,11726987.36
7620,VCYT,23.98,2020-02-25,11726987.36,VCYT,61.95,2021-02-24,53775139.95
7621,VCYT,71.82,2021-02-22,92163374.1,VCYT,24.68,2022-02-22,15766521.84
7622,VEC,27.17,2018-03-01,2612150.97,VEC,27.22,2019-03-01,3142603.44
